type,edge_num,rec,thick,add,num_of_elements,mean,sd
m,4,f,0,7,29,299.538347685972,135.221533534447
d,4,f,5,0,29,1.46098897859012,0.581144279906097
m,4,f,5,0,29,344.876176566519,134.679242932147
d,4,f,5,1,28,1.51071419503496,0.651938820970163
m,4,f,5,1,28,314.422596042458,83.1534899223305
d,4,f,5,2,29,1.6548655427805,0.678262098535065
m,4,f,5,2,29,285.964206662189,79.5662828280337
d,4,f,5,3,29,1.67582732329297,0.630493356124668
m,4,f,5,3,29,283.729867948151,84.3874433775749
d,4,f,5,5,29,1.73886211087854,0.685797602111572
m,4,f,5,5,29,279.852482507788,94.9698090271278
d,4,f,5,7,29,1.7854003404483,0.70462039009196
m,4,f,5,7,29,273.166021417865,98.0404953099283
d,4,f,8,0,29,1.68771643120952,0.746211353979576
m,4,f,8,0,29,303.762774962931,138.520098192052
d,4,f,8,1,28,1.76996679476786,0.910441352004004
m,4,f,8,1,28,282.795721812238,93.4938986674293
d,4,f,8,2,29,1.9388605322,0.923271018169241
m,4,f,8,2,29,255.248229912796,84.9620330683238
d,4,f,8,3,29,1.9922959849,0.901213952489511
m,4,f,8,3,29,251.17837419051,88.7000415707191
d,4,f,8,5,29,2.01340461444138,0.843282199444434
m,4,f,8,5,29,247.060678338462,93.5355444606786
d,4,f,8,7,29,2.06675770113103,0.918046046355685
m,4,f,8,7,29,243.389281608569,97.6594554342265
